t,FL_hip_joint,FL_knee_joint,FL_ankle_joint,FR_hip_joint,FR_knee_joint,FR_ankle_joint,RL_hip_joint,RL_knee_joint,RL_ankle_joint,RR_hip_joint,RR_knee_joint,RR_ankle_joint
1.7369,-0.0424,-1.2507,0.5076,-0.1684,0.1150,-0.0078,0.0664,0.0759,-0.0024,0.3080,0.4453,0.7282
1.7551,0.2971,-1.3113,0.1123,-0.1310,0.0906,-0.0097,0.1205,0.0735,-0.0075,-0.3104,1.5935,1.6571
1.7660,0.3127,-1.3689,0.1090,-0.1346,0.0920,-0.0098,0.1193,0.0754,-0.0073,-0.3157,1.6137,1.6745
1.7769,-0.2711,-0.2432,0.3647,-0.1006,0.0701,-0.0112,0.1692,0.0751,-0.0121,0.0235,1.3701,1.8640
1.7900,-0.4799,-1.2621,0.9915,-0.2156,0.1482,-0.0078,-0.0073,0.0769,0.0029,1.1500,-1.2265,-0.6759
1.7999,-1.6742,2.8607,1.7797,-0.1036,0.0572,-0.0214,0.4038,0.0581,-0.0364,0.6918,1.0387,2.9397
1.8114,-1.8422,1.3708,1.6457,-0.1390,0.0915,-0.0114,0.1141,0.0735,-0.0086,1.9230,-1.6766,-0.1460
1.8231,-1.0854,1.2366,0.7888,-0.0659,0.0362,-0.0148,0.2356,0.0686,-0.0207,0.5343,1.0202,2.1150
1.8332,-1.8462,1.3646,1.6639,-0.1397,0.0875,-0.0125,0.1150,0.0703,-0.0097,1.9263,-1.6726,-0.1572
1.8430,0.1322,-0.0028,-0.0158,-0.1340,0.0270,-0.0260,0.0846,-0.0256,-0.0164,-0.3035,2.8745,2.9499
1.9301,0.2670,-1.8194,-0.1329,-0.1857,0.0702,-0.0251,0.0075,0.0353,-0.0085,0.0148,2.1624,1.9198
1.9462,0.1180,-2.0953,-0.2345,-0.0971,0.0635,-0.0119,0.1217,0.1143,-0.0102,-0.1610,1.6680,1.6664
1.9593,0.3568,-1.5901,0.0367,-0.1485,0.0812,-0.0137,0.1033,0.0614,-0.0100,-0.2643,1.4218,1.5076
1.9751,0.1804,0.2418,0.7710,-0.0525,0.0366,-0.0040,0.0350,-0.6959,0.0664,-0.0564,0.0365,-0.0012
1.9903,0.4267,0.2511,0.8344,-0.2045,0.0610,-0.0179,-0.0536,-0.1074,-0.0037,0.0516,-0.0346,-0.0020
2.0024,0.0138,0.0412,0.0001,-0.0141,0.0127,-0.0010,0.3614,0.5950,1.1135,-0.1878,0.0649,-0.0088
2.0147,0.1921,0.1311,0.5638,-0.0624,0.0354,-0.0055,0.0839,-0.0439,0.5461,-0.0714,0.0345,-0.0032
2.0261,0.1127,0.0204,-0.0242,-0.1639,-0.0044,-0.0179,0.3603,3.0764,2.8327,-0.0559,-0.0402,-0.0127
2.0387,-1.0599,-0.2712,0.1101,-0.7942,0.5787,0.0029,0.1168,0.9488,0.2498,2.9412,-2.3247,2.9384
2.0583,0.4242,0.2870,-0.0447,2.9607,-3.0212,2.9952,-2.9469,1.2593,2.8673,-0.3421,0.3469,-0.0194
2.1818,0.1289,0.0859,-0.0097,-0.1161,-1.0113,0.2619,0.1694,1.4518,1.5835,-0.1182,0.0673,-0.0070
2.2030,0.0000,0.0004,-0.0001,-0.0001,0.0002,-0.0001,0.0006,-0.0001,-0.0002,-0.0003,-0.0004,-0.0002
2.2171,-0.0246,-0.0123,0.0024,-0.0578,0.0266,-0.0035,0.0487,0.0200,-0.0027,0.0314,0.4804,0.8219
2.2301,0.1718,0.0804,-0.0086,-1.3385,-0.4933,0.2814,0.3537,1.6554,1.1141,0.6218,0.0153,0.7976
